text_de_ori,text,fr,it,drawing_number,canonical_id,canonical_reference,source_tex,candidate_origin,category,fr_svg_status,it_svg_status,decision,reviewer,comment
OFDM,OFDM,,,704,dr_f1897d5df9d0,canonical/drawings/dr_f1897d5df9d0,704.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
OH,OH,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
OK,OK,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
OM,OM,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
ON,ON,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
OUT,OUT,,,773,dr_cb44e84a9370,canonical/drawings/dr_cb44e84a9370,773.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
PA,PA,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Phasen- [-0.1em]wechsel,Phasenwechsel,changement[[BR]]de phase,cambio[[BR]]di fase,702,dr_a2a8c6fdd798,canonical/drawings/dr_a2a8c6fdd798,702.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Phasen- [-0.1em]wechsel,Phasenwechsel,changement[[BR]]de phase,cambio[[BR]]di fase,705,dr_476e0c99214d,canonical/drawings/dr_476e0c99214d,705.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
PSK,PSK,,,705,dr_476e0c99214d,canonical/drawings/dr_476e0c99214d,705.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
