text_de_ori,text,fr,it,drawing_number,canonical_id,canonical_reference,source_tex,candidate_origin,category,fr_svg_status,it_svg_status,decision,reviewer,comment
3.ZF,3.ZF,3.FI,3.IF,976,dr_dd27f3802d8c,canonical/drawings/dr_dd27f3802d8c,976.de.tex,previously_marked_to_translate,circuitikz_bare_label,fallback_de,fallback_de,to_be_translated,,
4ASK,4ASK,,,701,dr_116ea4c1b68f,canonical/drawings/dr_116ea4c1b68f,701.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
5 ms/Div.,5 ms/Div.,,,75,dr_f6c0f34633f6,canonical/drawings/dr_f6c0f34633f6,75.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
50 s/Div.,50 s/Div.,,,57,dr_9c4ab0a8c1e2,canonical/drawings/dr_9c4ab0a8c1e2,57.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
8QAM,8QAM,,,697,dr_194a2aaa7053,canonical/drawings/dr_194a2aaa7053,697.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
8QAM,8QAM,,,702,dr_a2a8c6fdd798,canonical/drawings/dr_a2a8c6fdd798,702.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
AM,AM,,,716,dr_37ef4bd37fa3,canonical/drawings/dr_37ef4bd37fa3,716.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
ant,ant,,,447,dr_441733b812b8,canonical/drawings/dr_441733b812b8,447.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
ASK,ASK,,,700,dr_1679635e666b,canonical/drawings/dr_1679635e666b,700.de.tex,newly_detected,pgfplots_title,fallback_de,fallback_de,,,
Audio,Audio,,,630,dr_2079b8f11324,canonical/drawings/dr_2079b8f11324,630.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
BE,BE,,,863,dr_eacfe984b9a6,canonical/drawings/dr_eacfe984b9a6,863.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
BIAS,BIAS,,,773,dr_cb44e84a9370,canonical/drawings/dr_cb44e84a9370,773.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
bzw.,bzw.,resp.,risp.,999,dr_d5b7f32ec4cc,canonical/drawings/dr_d5b7f32ec4cc,999.de.tex,newly_detected,pgfplots_legend,fallback_de,fallback_de,to_be_translated,,
CAT,CAT,,,630,dr_2079b8f11324,canonical/drawings/dr_2079b8f11324,630.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
CC,CC,,,773,dr_cb44e84a9370,canonical/drawings/dr_cb44e84a9370,773.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
CE,CE,,,863,dr_eacfe984b9a6,canonical/drawings/dr_eacfe984b9a6,863.de.tex,previously_marked_to_translate,math_text,fallback_de,fallback_de,,,
CT,CT,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
dB,dB,,,742,dr_7f063f9e1a7e,canonical/drawings/dr_7f063f9e1a7e,742.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,,,
DB0FZ,DB0FZ,,,542,dr_5d75720f14fd,canonical/drawings/dr_5d75720f14fd,542.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
DB0HOB,DB0HOB,,,542,dr_5d75720f14fd,canonical/drawings/dr_5d75720f14fd,542.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Dipolschenkel 1,Dipolschenkel 1,bras du dipôle 1,braccio del dipolo 1,633,dr_909d30dc7bfe,canonical/drawings/dr_909d30dc7bfe,633.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Dipolschenkel 2,Dipolschenkel 2,bras du dipôle 2,braccio del dipolo 2,633,dr_909d30dc7bfe,canonical/drawings/dr_909d30dc7bfe,633.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Distanz,Distanz,distance,distanza,872,dr_74a9265ba73f,canonical/drawings/dr_74a9265ba73f,872.de.tex,previously_marked_to_translate,pgfplots_ylabel,fallback_de,fallback_de,to_be_translated,,
Distanz [km],Distanz [km],distance [km],distanza [km],994,dr_1fd4f7e0651a,canonical/drawings/dr_1fd4f7e0651a,994.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
Distanz [km],Distanz [km],distance [km],distanza [km],995,dr_38ad714a80ba,canonical/drawings/dr_38ad714a80ba,995.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
Distanz [km],Distanz [km],distance [km],distanza [km],996,dr_c0254ca7e657,canonical/drawings/dr_c0254ca7e657,996.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
Distanz [km],Distanz [km],distance [km],distanza [km],997,dr_3555d09607af,canonical/drawings/dr_3555d09607af,997.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
Distanz [km],Distanz [km],distance [km],distanza [km],998,dr_58d61252789c,canonical/drawings/dr_58d61252789c,998.de.tex,previously_marked_to_translate,pgfplots_xlabel,fallback_de,fallback_de,to_be_translated,,
DL,DL,,,656,dr_5d21d43d8023,canonical/drawings/dr_5d21d43d8023,656.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
DL1FLO,DL1FLO,,,668,dr_4c48a1d86f3a,canonical/drawings/dr_4c48a1d86f3a,668.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
DN9YI,DN9YI,,,542,dr_5d75720f14fd,canonical/drawings/dr_5d75720f14fd,542.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,,,
Durchlass- bereich,Durchlassbereich,bande passante,banda passante,400,dr_a3b52efc8b99,canonical/drawings/dr_a3b52efc8b99,400.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Durchlass- bereich,Durchlassbereich,bande passante,banda passante,401,dr_e4ef2fda766a,canonical/drawings/dr_e4ef2fda766a,401.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Durchlass- bereich,Durchlassbereich,bande passante,banda passante,402,dr_04f4064cd923,canonical/drawings/dr_04f4064cd923,402.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
Durchlass- bereich,Durchlassbereich,bande passante,banda passante,403,dr_090781debad1,canonical/drawings/dr_090781debad1,403.de.tex,newly_detected,node_command_text,fallback_de,fallback_de,to_be_translated,,
